"  16+ people","6 (9.0%)","8 (12.3%)","2 (9.1%)","10 (16.4%)","0 (0%)","0 (0%)","26 (11.9%)"
"Title","","","","","","",""
"  Full professor/lecturer","13 (19.4%)","10 (15.4%)","5 (22.7%)","14 (23.0%)","0 (0%)","1 (50.0%)","43 (19.7%)"
"  Associate professor/lecturer","24 (35.8%)","16 (24.6%)","4 (18.2%)","15 (24.6%)","1 (100%)","1 (50.0%)","61 (28.0%)"
"  Assistant professor/lecturer","8 (11.9%)","5 (7.7%)","4 (18.2%)","7 (11.5%)","0 (0%)","0 (0%)","24 (11.0%)"
"  Laboratory director/head","1 (1.5%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"  Research scientist","2 (3.0%)","14 (21.5%)","1 (4.5%)","11 (18.0%)","0 (0%)","0 (0%)","28 (12.8%)"
"  Post-doctoral fellow","4 (6.0%)","13 (20.0%)","6 (27.3%)","3 (4.9%)","0 (0%)","0 (0%)","26 (11.9%)"
"  Graduate student (PhD, masters)","6 (9.0%)","5 (7.7%)","1 (4.5%)","6 (9.8%)","0 (0%)","0 (0%)","18 (8.3%)"
"  Technician/research assistant","0 (0%)","0 (0%)","0 (0%)","2 (3.3%)","0 (0%)","0 (0%)","2 (0.9%)"
"  Other (specify)","2 (3.0%)","2 (3.1%)","1 (4.5%)","1 (1.6%)","0 (0%)","0 (0%)","6 (2.8%)"
"Gender","","","","","","",""
"  Female","20 (29.9%)","21 (32.3%)","11 (50.0%)","12 (19.7%)","1 (100%)","1 (50.0%)","66 (30.3%)"
"  Male","39 (58.2%)","44 (67.7%)","11 (50.0%)","47 (77.0%)","0 (0%)","1 (50.0%)","142 (65.1%)"
"  Non-binary / third gender","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Prefer to self-describe","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Prefer not to say","1 (1.5%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"Age","","","","","","",""
"  Under 18","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  18-34 years old","9 (13.4%)","15 (23.1%)","4 (18.2%)","16 (26.2%)","0 (0%)","0 (0%)","44 (20.2%)"
"  35-54 years old","47 (70.1%)","40 (61.5%)","13 (59.1%)","34 (55.7%)","1 (100%)","1 (50.0%)","136 (62.4%)"
"  55+ years old","11 (16.4%)","10 (15.4%)","5 (22.7%)","11 (18.0%)","0 (0%)","1 (50.0%)","38 (17.4%)"
