"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","2 (3.0%)","1 (1.5%)","0 (0%)","1 (1.6%)","0 (0%)","0 (0%)","4 (1.8%)"
"Questioned the reproducibility of published research","","","","","","",""
"  Yes","28 (41.8%)","43 (66.2%)","9 (40.9%)","44 (72.1%)","1 (100%)","0 (0%)","125 (57.3%)"
"  No","36 (53.7%)","18 (27.7%)","10 (45.5%)","16 (26.2%)","0 (0%)","2 (100%)","82 (37.6%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","3 (4.5%)","4 (6.2%)","3 (13.6%)","1 (1.6%)","0 (0%)","0 (0%)","11 (5.0%)"
"Published original data with your study","","","","","","",""
"  Yes","31 (46.3%)","59 (90.8%)","15 (68.2%)","39 (63.9%)","0 (0%)","0 (0%)","144 (66.1%)"
"  No","33 (49.3%)","6 (9.2%)","7 (31.8%)","20 (32.8%)","1 (100%)","2 (100%)","69 (31.7%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","3 (4.5%)","0 (0%)","0 (0%)","2 (3.3%)","0 (0%)","0 (0%)","5 (2.3%)"
"Published code and/or protocols with your study","","","","","","",""
"  Yes","12 (17.9%)","39 (60.0%)","7 (31.8%)","37 (60.7%)","0 (0%)","0 (0%)","95 (43.6%)"
"  No","54 (80.6%)","23 (35.4%)","15 (68.2%)","21 (34.4%)","1 (100%)","2 (100%)","116 (53.2%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (1.5%)","3 (4.6%)","0 (0%)","3 (4.9%)","0 (0%)","0 (0%)","7 (3.2%)"
"Considered reproducibility while peer reviewing a grant or publication","","","","","","",""
"  Yes","17 (25.4%)","43 (66.2%)","8 (36.4%)","47 (77.0%)","0 (0%)","0 (0%)","115 (52.8%)"
"  No","49 (73.1%)","18 (27.7%)","12 (54.5%)","11 (18.0%)","1 (100%)","2 (100%)","93 (42.7%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (1.5%)","4 (6.2%)","2 (9.1%)","3 (4.9%)","0 (0%)","0 (0%)","10 (4.6%)"
"Attempted to reproduce your own or someone else's research","","","","","","",""
"  Yes","18 (26.9%)","43 (66.2%)","4 (18.2%)","36 (59.0%)","1 (100%)","0 (0%)","102 (46.8%)"
"  No","49 (73.1%)","20 (30.8%)","18 (81.8%)","24 (39.3%)","0 (0%)","2 (100%)","113 (51.8%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Missing","0 (0%)","2 (3.1%)","0 (0%)","1 (1.6%)","0 (0%)","0 (0%)","3 (1.4%)"
